treatment	chems	SACRIFICE_PERIOD	DOSE_LEVEL	SIN_REP_TYPE	Out
Liver_monocrotaline_High_8day_Repeat	monocrotaline	8 day	High	Repeat	Necrosis
Liver_monocrotaline_High_8day_Repeat	monocrotaline	8 day	High	Repeat	Fibrosis
Liver_monocrotaline_High_8day_Repeat	monocrotaline	8 day	High	Repeat	Change..acidophilic
Liver_monocrotaline_High_8day_Repeat	monocrotaline	8 day	High	Repeat	Cellular.infiltration
Liver_monocrotaline_High_8day_Repeat	monocrotaline	8 day	High	Repeat	Hemorrhage
Liver_monocrotaline_Middle_15day_Repeat	monocrotaline	15 day	Middle	Repeat	Change..acidophilic
Liver_monocrotaline_Middle_15day_Repeat	monocrotaline	15 day	Middle	Repeat	Cellular.infiltration
Liver_monocrotaline_Middle_29day_Repeat	monocrotaline	29 day	Middle	Repeat	Fibrosis
Liver_monocrotaline_Middle_29day_Repeat	monocrotaline	29 day	Middle	Repeat	Change..acidophilic
Liver_monocrotaline_Middle_29day_Repeat	monocrotaline	29 day	Middle	Repeat	Hypertrophy
Liver_monocrotaline_Middle_29day_Repeat	monocrotaline	29 day	Middle	Repeat	Cellular.infiltration
Liver_naphthyl_isothiocyanate_High_15day_Repeat	naphthyl_isothiocyanate	15 day	High	Repeat	Necrosis
Liver_naphthyl_isothiocyanate_High_15day_Repeat	naphthyl_isothiocyanate	15 day	High	Repeat	Fibrosis
Liver_naphthyl_isothiocyanate_High_15day_Repeat	naphthyl_isothiocyanate	15 day	High	Repeat	Change..acidophilic
Liver_naphthyl_isothiocyanate_High_15day_Repeat	naphthyl_isothiocyanate	15 day	High	Repeat	Proliferation..bile.duct
Liver_naphthyl_isothiocyanate_High_15day_Repeat	naphthyl_isothiocyanate	15 day	High	Repeat	Cellular.infiltration
Liver_naphthyl_isothiocyanate_High_24hr_Single	naphthyl_isothiocyanate	24 hr	High	Single	Necrosis
Liver_naphthyl_isothiocyanate_High_24hr_Single	naphthyl_isothiocyanate	24 hr	High	Single	Cellular.infiltration
Liver_naphthyl_isothiocyanate_High_24hr_Single	naphthyl_isothiocyanate	24 hr	High	Single	Edema
Liver_naphthyl_isothiocyanate_High_29day_Repeat	naphthyl_isothiocyanate	29 day	High	Repeat	Necrosis
Liver_naphthyl_isothiocyanate_High_29day_Repeat	naphthyl_isothiocyanate	29 day	High	Repeat	Proliferation..bile.duct
Liver_naphthyl_isothiocyanate_High_29day_Repeat	naphthyl_isothiocyanate	29 day	High	Repeat	Cellular.infiltration
Liver_naphthyl_isothiocyanate_High_4day_Repeat	naphthyl_isothiocyanate	4 day	High	Repeat	Fibrosis
Liver_naphthyl_isothiocyanate_High_4day_Repeat	naphthyl_isothiocyanate	4 day	High	Repeat	Change..acidophilic
Liver_naphthyl_isothiocyanate_High_4day_Repeat	naphthyl_isothiocyanate	4 day	High	Repeat	Proliferation..bile.duct
Liver_naphthyl_isothiocyanate_High_4day_Repeat	naphthyl_isothiocyanate	4 day	High	Repeat	Cellular.infiltration
Liver_naphthyl_isothiocyanate_High_8day_Repeat	naphthyl_isothiocyanate	8 day	High	Repeat	Fibrosis
Liver_naphthyl_isothiocyanate_High_8day_Repeat	naphthyl_isothiocyanate	8 day	High	Repeat	Change..acidophilic
Liver_naphthyl_isothiocyanate_High_8day_Repeat	naphthyl_isothiocyanate	8 day	High	Repeat	Proliferation..bile.duct
Liver_naphthyl_isothiocyanate_High_8day_Repeat	naphthyl_isothiocyanate	8 day	High	Repeat	Cellular.infiltration
Liver_naphthyl_isothiocyanate_Middle_24hr_Single	naphthyl_isothiocyanate	24 hr	Middle	Single	Necrosis
Liver_naphthyl_isothiocyanate_Middle_24hr_Single	naphthyl_isothiocyanate	24 hr	Middle	Single	Cellular.infiltration
Liver_naphthyl_isothiocyanate_Middle_24hr_Single	naphthyl_isothiocyanate	24 hr	Middle	Single	Edema
Liver_naproxen_High_15day_Repeat	naproxen	15 day	High	Repeat	Hematopoiesis..extramedullary
Liver_naproxen_High_4day_Repeat	naproxen	4 day	High	Repeat	Hypertrophy
Liver_naproxen_High_4day_Repeat	naproxen	4 day	High	Repeat	Inflammation
Liver_naproxen_High_8day_Repeat	naproxen	8 day	High	Repeat	Hematopoiesis..extramedullary
Liver_nicotinic_acid_High_24hr_Single	nicotinic_acid	24 hr	High	Single	Deposit..glycogen
Liver_nicotinic_acid_High_6hr_Single	nicotinic_acid	6 hr	High	Single	Change..eosinophilic
Liver_nicotinic_acid_High_9hr_Single	nicotinic_acid	9 hr	High	Single	Change..eosinophilic
Liver_nicotinic_acid_Low_24hr_Single	nicotinic_acid	24 hr	Low	Single	Deposit..glycogen
Liver_nicotinic_acid_Low_9hr_Single	nicotinic_acid	9 hr	Low	Single	Change..eosinophilic
Liver_nicotinic_acid_Middle_6hr_Single	nicotinic_acid	6 hr	Middle	Single	Change..eosinophilic
Liver_nicotinic_acid_Middle_9hr_Single	nicotinic_acid	9 hr	Middle	Single	Change..eosinophilic
Liver_nifedipine_High_29day_Repeat	nifedipine	29 day	High	Repeat	Change..eosinophilic
Liver_nifedipine_High_3hr_Single	nifedipine	3 hr	High	Single	Increased.mitosis
Liver_nimesulide_High_15day_Repeat	nimesulide	15 day	High	Repeat	Hypertrophy
Liver_nimesulide_High_15day_Repeat	nimesulide	15 day	High	Repeat	Ground.glass.appearance
Liver_nimesulide_High_29day_Repeat	nimesulide	29 day	High	Repeat	Hypertrophy
Liver_nimesulide_High_29day_Repeat	nimesulide	29 day	High	Repeat	Ground.glass.appearance
Liver_nimesulide_High_4day_Repeat	nimesulide	4 day	High	Repeat	Hypertrophy
Liver_nimesulide_High_8day_Repeat	nimesulide	8 day	High	Repeat	Hypertrophy
Liver_nimesulide_High_8day_Repeat	nimesulide	8 day	High	Repeat	Ground.glass.appearance
Liver_nimesulide_Middle_15day_Repeat	nimesulide	15 day	Middle	Repeat	Hypertrophy
Liver_nimesulide_Middle_29day_Repeat	nimesulide	29 day	Middle	Repeat	Microgranuloma
Liver_nimesulide_Middle_29day_Repeat	nimesulide	29 day	Middle	Repeat	Hypertrophy
Liver_nimesulide_Middle_29day_Repeat	nimesulide	29 day	Middle	Repeat	Ground.glass.appearance
Liver_nimesulide_Middle_8day_Repeat	nimesulide	8 day	Middle	Repeat	Hypertrophy
Liver_nitrofurantoin_Control_15day_Repeat	nitrofurantoin	15 day	Control	Repeat	Cellular.infiltration
Liver_nitrofurantoin_Control_29day_Repeat	nitrofurantoin	29 day	Control	Repeat	Cellular.infiltration
Liver_nitrofurantoin_High_15day_Repeat	nitrofurantoin	15 day	High	Repeat	Cellular.infiltration
Liver_nitrofurantoin_High_8day_Repeat	nitrofurantoin	8 day	High	Repeat	Cellular.infiltration
Liver_nitrofurantoin_Low_29day_Repeat	nitrofurantoin	29 day	Low	Repeat	Cellular.infiltration
Liver_nitrosodiethylamine_High_24hr_Single	nitrosodiethylamine	24 hr	High	Single	Single.cell.necrosis
Liver_nitrosodiethylamine_High_24hr_Single	nitrosodiethylamine	24 hr	High	Single	Swelling
Liver_nitrosodiethylamine_High_3hr_Single	nitrosodiethylamine	3 hr	High	Single	Swelling
Liver_nitrosodiethylamine_High_4day_Repeat	nitrosodiethylamine	4 day	High	Repeat	Necrosis
Liver_nitrosodiethylamine_High_4day_Repeat	nitrosodiethylamine	4 day	High	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_High_6hr_Single	nitrosodiethylamine	6 hr	High	Single	Swelling
Liver_nitrosodiethylamine_High_8day_Repeat	nitrosodiethylamine	8 day	High	Repeat	Necrosis
Liver_nitrosodiethylamine_High_8day_Repeat	nitrosodiethylamine	8 day	High	Repeat	Anisonucleosis
Liver_nitrosodiethylamine_High_8day_Repeat	nitrosodiethylamine	8 day	High	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_High_8day_Repeat	nitrosodiethylamine	8 day	High	Repeat	Proliferation..bile.duct
Liver_nitrosodiethylamine_High_9hr_Single	nitrosodiethylamine	9 hr	High	Single	Single.cell.necrosis
Liver_nitrosodiethylamine_High_9hr_Single	nitrosodiethylamine	9 hr	High	Single	Swelling
Liver_nitrosodiethylamine_Low_29day_Repeat	nitrosodiethylamine	29 day	Low	Repeat	Necrosis
Liver_nitrosodiethylamine_Low_29day_Repeat	nitrosodiethylamine	29 day	Low	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_Low_6hr_Single	nitrosodiethylamine	6 hr	Low	Single	Swelling
Liver_nitrosodiethylamine_Low_9hr_Single	nitrosodiethylamine	9 hr	Low	Single	Swelling
Liver_nitrosodiethylamine_Middle_15day_Repeat	nitrosodiethylamine	15 day	Middle	Repeat	Necrosis
Liver_nitrosodiethylamine_Middle_15day_Repeat	nitrosodiethylamine	15 day	Middle	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_Middle_24hr_Single	nitrosodiethylamine	24 hr	Middle	Single	Change..acidophilic
Liver_nitrosodiethylamine_Middle_29day_Repeat	nitrosodiethylamine	29 day	Middle	Repeat	Necrosis
Liver_nitrosodiethylamine_Middle_29day_Repeat	nitrosodiethylamine	29 day	Middle	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_Middle_29day_Repeat	nitrosodiethylamine	29 day	Middle	Repeat	Cellular.foci
Liver_nitrosodiethylamine_Middle_4day_Repeat	nitrosodiethylamine	4 day	Middle	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_Middle_6hr_Single	nitrosodiethylamine	6 hr	Middle	Single	Swelling
Liver_nitrosodiethylamine_Middle_8day_Repeat	nitrosodiethylamine	8 day	Middle	Repeat	Necrosis
Liver_nitrosodiethylamine_Middle_8day_Repeat	nitrosodiethylamine	8 day	Middle	Repeat	Change..acidophilic
Liver_nitrosodiethylamine_Middle_9hr_Single	nitrosodiethylamine	9 hr	Middle	Single	Swelling
Liver_NmethylNnitrosourea_High_24hr_Single	N-methyl-N-nitrosourea	24 hr	High	Single	Alteration..nuclear
Liver_Nnitrosomorpholine_High_24hr_Single	N-nitrosomorpholine	24 hr	High	Single	Single.cell.necrosis
Liver_Nnitrosomorpholine_High_24hr_Single	N-nitrosomorpholine	24 hr	High	Single	Change..acidophilic
Liver_Nnitrosomorpholine_Low_24hr_Single	N-nitrosomorpholine	24 hr	Low	Single	Single.cell.necrosis
Liver_Nnitrosomorpholine_Low_24hr_Single	N-nitrosomorpholine	24 hr	Low	Single	Change..acidophilic
Liver_Nnitrosomorpholine_Middle_24hr_Single	N-nitrosomorpholine	24 hr	Middle	Single	Single.cell.necrosis
Liver_Nnitrosomorpholine_Middle_24hr_Single	N-nitrosomorpholine	24 hr	Middle	Single	Change..acidophilic
Liver_omeprazole_High_15day_Repeat	omeprazole	15 day	High	Repeat	Hypertrophy
Liver_omeprazole_High_29day_Repeat	omeprazole	29 day	High	Repeat	Hypertrophy
Liver_omeprazole_High_4day_Repeat	omeprazole	4 day	High	Repeat	Hypertrophy
Liver_omeprazole_High_6hr_Single	omeprazole	6 hr	High	Single	Change..eosinophilic
Liver_omeprazole_High_8day_Repeat	omeprazole	8 day	High	Repeat	Hypertrophy
Liver_omeprazole_High_9hr_Single	omeprazole	9 hr	High	Single	Change..eosinophilic
Liver_omeprazole_Low_29day_Repeat	omeprazole	29 day	Low	Repeat	Hypertrophy
Liver_omeprazole_Low_9hr_Single	omeprazole	9 hr	Low	Single	Change..eosinophilic
Liver_omeprazole_Middle_15day_Repeat	omeprazole	15 day	Middle	Repeat	Hypertrophy
Liver_omeprazole_Middle_29day_Repeat	omeprazole	29 day	Middle	Repeat	Hypertrophy
Liver_omeprazole_Middle_6hr_Single	omeprazole	6 hr	Middle	Single	Change..eosinophilic
Liver_omeprazole_Middle_9hr_Single	omeprazole	9 hr	Middle	Single	Change..eosinophilic
Liver_papaverine_High_15day_Repeat	papaverine	15 day	High	Repeat	Hypertrophy
Liver_papaverine_High_15day_Repeat	papaverine	15 day	High	Repeat	Ground.glass.appearance
Liver_papaverine_High_24hr_Single	papaverine	24 hr	High	Single	Increased.mitosis
Liver_papaverine_High_29day_Repeat	papaverine	29 day	High	Repeat	Hypertrophy
Liver_papaverine_High_29day_Repeat	papaverine	29 day	High	Repeat	Ground.glass.appearance
Liver_papaverine_High_4day_Repeat	papaverine	4 day	High	Repeat	Increased.mitosis
Liver_papaverine_High_8day_Repeat	papaverine	8 day	High	Repeat	Ground.glass.appearance
Liver_papaverine_Middle_15day_Repeat	papaverine	15 day	Middle	Repeat	Ground.glass.appearance
Liver_papaverine_Middle_29day_Repeat	papaverine	29 day	Middle	Repeat	Ground.glass.appearance
Liver_papaverine_Middle_8day_Repeat	papaverine	8 day	Middle	Repeat	Ground.glass.appearance
Liver_phalloidin_High_3hr_Single	phalloidin	3 hr	High	Single	Inclusion.body..intracytoplasmic
Liver_phalloidin_High_3hr_Single	phalloidin	3 hr	High	Single	Hemorrhage
Liver_phalloidin_High_4day_Repeat	phalloidin	4 day	High	Repeat	Single.cell.necrosis
Liver_phalloidin_High_4day_Repeat	phalloidin	4 day	High	Repeat	Proliferation..bile.duct
Liver_phalloidin_High_4day_Repeat	phalloidin	4 day	High	Repeat	Lesion.NOS
Liver_phalloidin_High_6hr_Single	phalloidin	6 hr	High	Single	Inclusion.body..intracytoplasmic
Liver_phalloidin_High_8day_Repeat	phalloidin	8 day	High	Repeat	Single.cell.necrosis
Liver_phalloidin_High_8day_Repeat	phalloidin	8 day	High	Repeat	Proliferation..bile.duct
Liver_phalloidin_High_8day_Repeat	phalloidin	8 day	High	Repeat	Lesion.NOS
Liver_phalloidin_High_9hr_Single	phalloidin	9 hr	High	Single	Single.cell.necrosis
Liver_phalloidin_High_9hr_Single	phalloidin	9 hr	High	Single	Inclusion.body..intracytoplasmic
Liver_phenacetin_High_15day_Repeat	phenacetin	15 day	High	Repeat	Hypertrophy
Liver_phenacetin_High_15day_Repeat	phenacetin	15 day	High	Repeat	Hematopoiesis..extramedullary
Liver_phenacetin_High_15day_Repeat	phenacetin	15 day	High	Repeat	Deposit..hemosiderin
Liver_phenacetin_High_29day_Repeat	phenacetin	29 day	High	Repeat	Hypertrophy
Liver_phenacetin_High_29day_Repeat	phenacetin	29 day	High	Repeat	Hematopoiesis..extramedullary
Liver_phenacetin_High_29day_Repeat	phenacetin	29 day	High	Repeat	Deposit..hemosiderin
Liver_phenacetin_High_8day_Repeat	phenacetin	8 day	High	Repeat	Hypertrophy
Liver_phenacetin_High_8day_Repeat	phenacetin	8 day	High	Repeat	Hematopoiesis..extramedullary
Liver_phenacetin_Middle_15day_Repeat	phenacetin	15 day	Middle	Repeat	Hypertrophy
Liver_phenacetin_Middle_29day_Repeat	phenacetin	29 day	Middle	Repeat	Hypertrophy
Liver_phenobarbital_High_15day_Repeat	phenobarbital	15 day	High	Repeat	Hypertrophy
Liver_phenobarbital_High_15day_Repeat	phenobarbital	15 day	High	Repeat	Ground.glass.appearance
Liver_phenobarbital_High_29day_Repeat	phenobarbital	29 day	High	Repeat	Hypertrophy
Liver_phenobarbital_High_29day_Repeat	phenobarbital	29 day	High	Repeat	Ground.glass.appearance
Liver_phenobarbital_High_4day_Repeat	phenobarbital	4 day	High	Repeat	Increased.mitosis
Liver_phenobarbital_High_4day_Repeat	phenobarbital	4 day	High	Repeat	Hypertrophy
Liver_phenobarbital_High_8day_Repeat	phenobarbital	8 day	High	Repeat	Increased.mitosis
Liver_phenobarbital_High_8day_Repeat	phenobarbital	8 day	High	Repeat	Hypertrophy
Liver_phenobarbital_High_8day_Repeat	phenobarbital	8 day	High	Repeat	Ground.glass.appearance
Liver_phenobarbital_Middle_15day_Repeat	phenobarbital	15 day	Middle	Repeat	Hypertrophy
Liver_phenobarbital_Middle_29day_Repeat	phenobarbital	29 day	Middle	Repeat	Hypertrophy
Liver_phenobarbital_Middle_29day_Repeat	phenobarbital	29 day	Middle	Repeat	Ground.glass.appearance
Liver_phenobarbital_Middle_8day_Repeat	phenobarbital	8 day	Middle	Repeat	Hypertrophy
Liver_phenylanthranilic_acid_High_24hr_Single	phenylanthranilic_acid	24 hr	High	Single	Increased.mitosis
Liver_phenylanthranilic_acid_High_24hr_Single	phenylanthranilic_acid	24 hr	High	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_High_3hr_Single	phenylanthranilic_acid	3 hr	High	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_High_6hr_Single	phenylanthranilic_acid	6 hr	High	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_High_9hr_Single	phenylanthranilic_acid	9 hr	High	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_Low_6hr_Single	phenylanthranilic_acid	6 hr	Low	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_Low_9hr_Single	phenylanthranilic_acid	9 hr	Low	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_Middle_24hr_Single	phenylanthranilic_acid	24 hr	Middle	Single	Increased.mitosis
Liver_phenylanthranilic_acid_Middle_24hr_Single	phenylanthranilic_acid	24 hr	Middle	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_Middle_3hr_Single	phenylanthranilic_acid	3 hr	Middle	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_Middle_6hr_Single	phenylanthranilic_acid	6 hr	Middle	Single	Change..eosinophilic
Liver_phenylanthranilic_acid_Middle_9hr_Single	phenylanthranilic_acid	9 hr	Middle	Single	Change..eosinophilic
Liver_phenylbutazone_High_15day_Repeat	phenylbutazone	15 day	High	Repeat	Hypertrophy
Liver_phenylbutazone_High_29day_Repeat	phenylbutazone	29 day	High	Repeat	Hypertrophy
Liver_phenylbutazone_Middle_29day_Repeat	phenylbutazone	29 day	Middle	Repeat	Hypertrophy
Liver_phenytoin_High_15day_Repeat	phenytoin	15 day	High	Repeat	Hypertrophy
Liver_phenytoin_High_29day_Repeat	phenytoin	29 day	High	Repeat	Hypertrophy
Liver_phenytoin_High_8day_Repeat	phenytoin	8 day	High	Repeat	Hypertrophy
Liver_phenytoin_Middle_15day_Repeat	phenytoin	15 day	Middle	Repeat	Hypertrophy
Liver_phenytoin_Middle_29day_Repeat	phenytoin	29 day	Middle	Repeat	Hypertrophy
Liver_phorone_High_24hr_Single	phorone	24 hr	High	Single	Necrosis
Liver_phorone_High_24hr_Single	phorone	24 hr	High	Single	Cellular.infiltration
Liver_phorone_High_24hr_Single	phorone	24 hr	High	Single	Change..eosinophilic
Liver_phorone_High_6hr_Single	phorone	6 hr	High	Single	Increased.mitosis
Liver_phorone_High_6hr_Single	phorone	6 hr	High	Single	Change..eosinophilic
Liver_phorone_High_6hr_Single	phorone	6 hr	High	Single	Vacuolization..cytoplasmic
Liver_phorone_High_6hr_Single	phorone	6 hr	High	Single	Inclusion.body..intracytoplasmic
Liver_phorone_High_9hr_Single	phorone	9 hr	High	Single	Increased.mitosis
Liver_phorone_High_9hr_Single	phorone	9 hr	High	Single	Single.cell.necrosis
Liver_phorone_High_9hr_Single	phorone	9 hr	High	Single	Change..eosinophilic
Liver_phorone_High_9hr_Single	phorone	9 hr	High	Single	Vacuolization..cytoplasmic
Liver_phorone_High_9hr_Single	phorone	9 hr	High	Single	Inclusion.body..intracytoplasmic
Liver_promethazine_High_15day_Repeat	promethazine	15 day	High	Repeat	Hypertrophy
Liver_promethazine_High_15day_Repeat	promethazine	15 day	High	Repeat	Ground.glass.appearance
Liver_promethazine_High_29day_Repeat	promethazine	29 day	High	Repeat	Hypertrophy
Liver_promethazine_High_29day_Repeat	promethazine	29 day	High	Repeat	Ground.glass.appearance
Liver_promethazine_High_4day_Repeat	promethazine	4 day	High	Repeat	Hypertrophy
Liver_promethazine_High_4day_Repeat	promethazine	4 day	High	Repeat	Ground.glass.appearance
Liver_promethazine_High_8day_Repeat	promethazine	8 day	High	Repeat	Hypertrophy
Liver_promethazine_High_8day_Repeat	promethazine	8 day	High	Repeat	Ground.glass.appearance
Liver_promethazine_Low_29day_Repeat	promethazine	29 day	Low	Repeat	Hypertrophy
Liver_promethazine_Low_29day_Repeat	promethazine	29 day	Low	Repeat	Ground.glass.appearance
Liver_promethazine_Middle_15day_Repeat	promethazine	15 day	Middle	Repeat	Hypertrophy
Liver_promethazine_Middle_15day_Repeat	promethazine	15 day	Middle	Repeat	Ground.glass.appearance
Liver_promethazine_Middle_29day_Repeat	promethazine	29 day	Middle	Repeat	Hypertrophy
Liver_promethazine_Middle_29day_Repeat	promethazine	29 day	Middle	Repeat	Ground.glass.appearance
Liver_promethazine_Middle_8day_Repeat	promethazine	8 day	Middle	Repeat	Hypertrophy
Liver_promethazine_Middle_8day_Repeat	promethazine	8 day	Middle	Repeat	Ground.glass.appearance
Liver_propylthiouracil_High_29day_Repeat	propylthiouracil	29 day	High	Repeat	Hypertrophy
Liver_puromycin_aminonucleoside_High_24hr_Single	puromycin_aminonucleoside	24 hr	High	Single	Change..basophilic
Liver_puromycin_aminonucleoside_High_4day_Repeat	puromycin_aminonucleoside	4 day	High	Repeat	Change..basophilic
Liver_puromycin_aminonucleoside_High_6hr_Single	puromycin_aminonucleoside	6 hr	High	Single	Proliferation..Kupffer.cell
Liver_puromycin_aminonucleoside_High_8day_Repeat	puromycin_aminonucleoside	8 day	High	Repeat	Increased.mitosis
Liver_puromycin_aminonucleoside_High_8day_Repeat	puromycin_aminonucleoside	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_puromycin_aminonucleoside_High_8day_Repeat	puromycin_aminonucleoside	8 day	High	Repeat	Atrophy
Liver_puromycin_aminonucleoside_High_8day_Repeat	puromycin_aminonucleoside	8 day	High	Repeat	Change..basophilic
Liver_puromycin_aminonucleoside_High_9hr_Single	puromycin_aminonucleoside	9 hr	High	Single	Proliferation..Kupffer.cell
Liver_puromycin_aminonucleoside_Middle_15day_Repeat	puromycin_aminonucleoside	15 day	Middle	Repeat	Increased.mitosis
Liver_puromycin_aminonucleoside_Middle_15day_Repeat	puromycin_aminonucleoside	15 day	Middle	Repeat	Atrophy
Liver_puromycin_aminonucleoside_Middle_15day_Repeat	puromycin_aminonucleoside	15 day	Middle	Repeat	Change..basophilic
Liver_puromycin_aminonucleoside_Middle_29day_Repeat	puromycin_aminonucleoside	29 day	Middle	Repeat	Change..basophilic
Liver_quinidine_High_15day_Repeat	quinidine	15 day	High	Repeat	Hypertrophy
Liver_quinidine_High_29day_Repeat	quinidine	29 day	High	Repeat	Hypertrophy
Liver_rifampicin_High_24hr_Single	rifampicin	24 hr	High	Single	Vacuolization..cytoplasmic
Liver_rifampicin_High_29day_Repeat	rifampicin	29 day	High	Repeat	Hypertrophy
Liver_rifampicin_High_9hr_Single	rifampicin	9 hr	High	Single	Vacuolization..cytoplasmic
Liver_rosiglitazone_maleate_High_6hr_Single	rosiglitazone_maleate	6 hr	High	Single	Proliferation..Kupffer.cell
Liver_rosiglitazone_maleate_High_9hr_Single	rosiglitazone_maleate	9 hr	High	Single	Proliferation..Kupffer.cell
Liver_simvastatin_High_15day_Repeat	simvastatin	15 day	High	Repeat	Change..basophilic
Liver_simvastatin_High_24hr_Single	simvastatin	24 hr	High	Single	Increased.mitosis
Liver_simvastatin_High_29day_Repeat	simvastatin	29 day	High	Repeat	Increased.mitosis
Liver_simvastatin_High_29day_Repeat	simvastatin	29 day	High	Repeat	Microgranuloma
Liver_simvastatin_High_29day_Repeat	simvastatin	29 day	High	Repeat	Change..basophilic
Liver_simvastatin_High_8day_Repeat	simvastatin	8 day	High	Repeat	Change..basophilic
Liver_simvastatin_Low_15day_Repeat	simvastatin	15 day	Low	Repeat	Change..basophilic
Liver_simvastatin_Low_29day_Repeat	simvastatin	29 day	Low	Repeat	Change..basophilic
Liver_simvastatin_Middle_15day_Repeat	simvastatin	15 day	Middle	Repeat	Increased.mitosis
Liver_simvastatin_Middle_15day_Repeat	simvastatin	15 day	Middle	Repeat	Change..basophilic
Liver_simvastatin_Middle_24hr_Single	simvastatin	24 hr	Middle	Single	Increased.mitosis
Liver_simvastatin_Middle_29day_Repeat	simvastatin	29 day	Middle	Repeat	Change..basophilic
Liver_simvastatin_Middle_8day_Repeat	simvastatin	8 day	Middle	Repeat	Change..basophilic
Liver_sulfasalazine_High_15day_Repeat	sulfasalazine	15 day	High	Repeat	Swelling
Liver_sulfasalazine_High_29day_Repeat	sulfasalazine	29 day	High	Repeat	Swelling
Liver_sulfasalazine_High_4day_Repeat	sulfasalazine	4 day	High	Repeat	Swelling
Liver_sulfasalazine_High_8day_Repeat	sulfasalazine	8 day	High	Repeat	Swelling
Liver_sulfasalazine_Middle_8day_Repeat	sulfasalazine	8 day	Middle	Repeat	Swelling
Liver_tamoxifen_High_29day_Repeat	tamoxifen	29 day	High	Repeat	Change..eosinophilic
Liver_terbinafine_High_15day_Repeat	terbinafine	15 day	High	Repeat	Hypertrophy
Liver_terbinafine_High_29day_Repeat	terbinafine	29 day	High	Repeat	Hypertrophy
Liver_terbinafine_High_8day_Repeat	terbinafine	8 day	High	Repeat	Hypertrophy
Liver_terbinafine_Middle_29day_Repeat	terbinafine	29 day	Middle	Repeat	Hypertrophy
Liver_thioacetamide_High_15day_Repeat	thioacetamide	15 day	High	Repeat	Hypertrophy
Liver_thioacetamide_High_15day_Repeat	thioacetamide	15 day	High	Repeat	Proliferation..oval.cell
Liver_thioacetamide_High_15day_Repeat	thioacetamide	15 day	High	Repeat	Alteration..nuclear
Liver_thioacetamide_High_15day_Repeat	thioacetamide	15 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_High_24hr_Single	thioacetamide	24 hr	High	Single	Necrosis
Liver_thioacetamide_High_24hr_Single	thioacetamide	24 hr	High	Single	Hypertrophy
Liver_thioacetamide_High_24hr_Single	thioacetamide	24 hr	High	Single	Cellular.infiltration
Liver_thioacetamide_High_24hr_Single	thioacetamide	24 hr	High	Single	Change..eosinophilic
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Fibrosis
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Hypertrophy
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Proliferation..oval.cell
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Proliferation..bile.duct
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Cellular.foci
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Alteration..nuclear
Liver_thioacetamide_High_29day_Repeat	thioacetamide	29 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_High_3hr_Single	thioacetamide	3 hr	High	Single	Hypertrophy
Liver_thioacetamide_High_4day_Repeat	thioacetamide	4 day	High	Repeat	Single.cell.necrosis
Liver_thioacetamide_High_4day_Repeat	thioacetamide	4 day	High	Repeat	Hypertrophy
Liver_thioacetamide_High_4day_Repeat	thioacetamide	4 day	High	Repeat	Cellular.infiltration
Liver_thioacetamide_High_4day_Repeat	thioacetamide	4 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_High_6hr_Single	thioacetamide	6 hr	High	Single	Single.cell.necrosis
Liver_thioacetamide_High_6hr_Single	thioacetamide	6 hr	High	Single	Atypia..nuclear
Liver_thioacetamide_High_8day_Repeat	thioacetamide	8 day	High	Repeat	Single.cell.necrosis
Liver_thioacetamide_High_8day_Repeat	thioacetamide	8 day	High	Repeat	Hypertrophy
Liver_thioacetamide_High_8day_Repeat	thioacetamide	8 day	High	Repeat	Cellular.infiltration
Liver_thioacetamide_High_8day_Repeat	thioacetamide	8 day	High	Repeat	Alteration..nuclear
Liver_thioacetamide_High_8day_Repeat	thioacetamide	8 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_High_9hr_Single	thioacetamide	9 hr	High	Single	Single.cell.necrosis
Liver_thioacetamide_High_9hr_Single	thioacetamide	9 hr	High	Single	Cellular.infiltration
